tau_hat,benefit_$,cost_$
24.58356972836548,30.729462160456848,2.0
24.52646268401664,30.6580783550208,2.0
24.50278985276581,30.628487315957265,2.0
24.486356491074,30.607945613842503,2.0
24.474739700557336,30.59342462569667,2.0
24.474739700557336,30.59342462569667,2.0
24.46254108290508,30.57817635363135,2.0
24.45785520286164,30.57231900357705,2.0
24.455907774727248,30.56988471840906,2.0
24.455907774727248,30.56988471840906,2.0
24.45544494726465,30.569306184080812,2.0
24.44690828712948,30.55863535891185,2.0
24.441877911725754,30.552347389657193,2.0
24.441877911725754,30.552347389657193,2.0
24.43884393858205,30.548554923227563,2.0
24.436239483986903,30.545299354983626,2.0
24.41150762896731,30.51438453620914,2.0
24.411409604064332,30.514262005080415,2.0
24.408205815426395,30.510257269282995,2.0
24.408205815426395,30.510257269282995,2.0
24.408205815426395,30.510257269282995,2.0
24.4071136947177,30.508892118397128,2.0
24.40524865081075,30.50656081351344,2.0
24.38017705186492,30.47522131483115,2.0
24.36939423056238,30.461742788202976,2.0
24.347826731788068,30.434783414735087,2.0
24.347058149650003,30.433822687062502,2.0
24.34698423252845,30.433730290660563,2.0
24.335781061226697,30.41972632653337,2.0
24.32076963896337,30.400962048704212,2.0
24.298342648012003,30.372928310015006,2.0
24.288519281495965,30.360649101869956,2.0
24.27182979307212,30.339787241340147,2.0
24.25538683906915,30.319233548836436,2.0
24.219241252637868,30.274051565797336,2.0
24.1990157799616,30.248769724952,2.0
24.178738634803107,30.223423293503885,2.0
24.178738634803107,30.223423293503885,2.0
24.178738634803107,30.223423293503885,2.0
24.17127649250037,30.21409561562546,2.0
24.162527489787777,30.20315936223472,2.0
24.15907986665541,30.198849833319265,2.0
24.136389129798207,30.170486412247758,2.0
24.133952077059764,30.167440096324704,2.0
24.133931062178977,30.16741382772372,2.0
24.10765318402324,30.134566480029047,2.0
24.10143453107876,30.126793163848447,2.0
24.097960376529628,30.122450470662034,2.0
24.08168396436397,30.102104955454966,2.0
24.07734183552852,30.096677294410654,2.0
24.06884843940213,30.086060549252664,2.0
24.06464153620894,30.080801920261173,2.0
24.064438146500336,30.08054768312542,2.0
24.044104629521154,30.055130786901444,2.0
24.027860424359627,30.034825530449535,2.0
23.96755788873488,29.959447360918602,2.0
23.959024614496943,29.94878076812118,2.0
23.944334777985127,29.930418472481406,2.0
23.944334777985127,29.930418472481406,2.0
23.94252541960969,29.928156774512114,2.0
23.91480887001927,29.89351108752409,2.0
23.91480887001927,29.89351108752409,2.0
23.912718844469428,29.890898555586784,2.0
23.907159400038235,29.883949250047795,2.0
23.902158181937622,29.877697727422028,2.0
23.898952873309916,29.873691091637397,2.0
23.895318903323407,29.86914862915426,2.0
23.8877527612687,29.859690951585875,2.0
23.88712831861864,29.8589103982733,2.0
23.88282360055238,29.853529500690478,2.0
23.87792487920497,29.84740609900621,2.0
23.854571242190936,29.818214052738668,2.0
23.848706889249307,29.810883611561636,2.0
23.84191943778801,29.802399297235013,2.0
23.841126160303503,29.80140770037938,2.0
23.840560958187872,29.80070119773484,2.0
23.83914579223353,29.79893224029191,2.0
23.831189018900133,29.788986273625166,2.0
23.817741688221396,29.772177110276743,2.0
23.815791882801264,29.76973985350158,2.0
23.815791882801264,29.76973985350158,2.0
23.815791882801264,29.76973985350158,2.0
23.815553298146448,29.76944162268306,2.0
23.815553298146448,29.76944162268306,2.0
23.815553298146448,29.76944162268306,2.0
23.815553298146448,29.76944162268306,2.0
23.815553298146448,29.76944162268306,2.0
23.804955527593584,29.756194409491982,2.0
23.803481535177596,29.754351918971995,2.0
23.790957638299524,29.738697047874403,2.0
23.788864637110414,29.736080796388016,2.0
23.729707269537013,29.662134086921267,2.0
23.727302076553578,29.65912759569197,2.0
23.723708863812792,29.65463607976599,2.0
23.71669307276641,29.645866340958015,2.0
23.71669307276641,29.645866340958015,2.0
23.69879548349845,29.623494354373065,2.0
23.68958070297633,29.61197587872041,2.0
23.68951732316802,29.611896653960024,2.0
23.68224362161865,29.602804527023313,2.0
23.65333067230721,29.56666334038401,2.0
23.648214136889475,29.560267671111845,2.0
23.636240311355436,29.545300389194296,2.0
23.6262859137852,29.5328573922315,2.0
23.60793436533886,29.509917956673576,2.0
23.59550193798118,29.494377422476475,2.0
23.585747914036357,29.482184892545447,2.0
23.56505553256901,29.45631941571126,2.0
23.56453703866751,29.455671298334387,2.0
23.560160738007184,29.45020092250898,2.0
23.546280860199467,29.43285107524933,2.0
23.54182380549868,29.42727975687335,2.0
23.51139927509445,29.389249093868063,2.0
23.49213791417589,29.36517239271986,2.0
23.488568399603903,29.36071049950488,2.0
23.480290561093465,29.350363201366832,2.0
23.480290561093465,29.350363201366832,2.0
23.480290561093465,29.350363201366832,2.0
23.480290561093465,29.350363201366832,2.0
23.480290561093465,29.350363201366832,2.0
23.480290561093465,29.350363201366832,2.0
23.47594736775835,29.34493420969794,2.0
23.47594736775835,29.34493420969794,2.0
23.455981731992384,29.31997716499048,2.0
